"","x"
"1552477_a_at",-0.658826927480651
"1552478_a_at",-0.206819268868466
"1552480_s_at",-0.0659126256974183
"1552481_s_at",0.474319482245744
"1552482_at",-0.219297161075506
"1552484_at",-0.178186656797787
"1552485_at",0.441395173961769
"1552486_s_at",0.967564594602758
"1552487_a_at",-1.63471530261714
"1552489_s_at",-0.0277558639838977
"1552490_at",-0.0378533645912613
"1552491_at",0.0470835811407069
"1552493_s_at",-0.0612797712004376
"1552494_at",-0.0659138642633401
"1552496_a_at",0.228461659444894
"1552497_a_at",0.100956973539303
"1552498_at",-0.0250887045440944
"1552499_a_at",-0.0475834814277452
"1552501_a_at",-0.00516763994911251
"1552502_s_at",-1.90851042697882
"1552503_at",0.0291299976692692
"1552504_a_at",-0.012839584530643
"1552506_at",0.0463321271135326
"1552507_at",0.0475952511851245
"1552508_at",-0.033552340984051
"1552509_a_at",0.052060874753816
"1552510_at",-0.0390787099889778
"1552511_a_at",-0.30716161284719
"1552514_at",0.0260169097233351
"1552515_at",-0.0161153378288716
"1552516_a_at",0.0359702022145845
"1552518_s_at",0.236160398181295
"1552519_at",-0.123421696497502
"1552520_at",0.148933883519502
"1552521_a_at",0.530859345550223
"1552522_at",-0.03888037439242
"1552523_a_at",0.0187930130801268
"1552524_at",-0.0823986352589081
"1552526_at",-0.0662704861834253
"1552528_at",0.0272820245319876
"1552531_a_at",-0.0428787066449772
"1552532_a_at",-0.0988060275568481
"1552535_at",-0.0161282427477332
"1552536_at",-0.115020281005495
"1552538_a_at",-0.173046664190895
"1552540_s_at",0.564931279582641
"1552541_at",-0.194388006423609
"1552542_s_at",0.104551775841823
"1552543_a_at",-0.0705235320779201
"1552544_at",-0.081892801626342
"1552546_a_at",-0.25851261754031
"1552548_at",0.0765881986271957
"1552549_a_at",0.0604104091906903
"1552552_s_at",-0.0229593575927405
"1552553_a_at",-0.12697851556529
"1552554_a_at",-0.014364608740693
"1552555_at",-0.131585174160715
"1552557_a_at",-0.441688517293471
"1552558_a_at",0.0142846901361908
"1552559_a_at",-0.0673659576776675
"1552562_at",-0.202689035631157
"1552563_a_at",-0.0303325674462602
